ward_code,ward_name,n_lsoas,mean_imd_rank,mean_imd_decile,imd_score_proxy,deprivation_rank_in_kc
E05009396,Golborne,6,4911.8,2.17,28844.2,1
E05009399,Notting Dale,6,6532.8,2.33,27223.2,2
E05009394,Dalgarno,5,6582.4,2.4,27173.6,3
E05009391,Chelsea Riverside,6,8311.2,2.83,25444.8,4
E05009392,Colville,6,10419.2,3.67,23336.8,5
E05009404,St. Helen's,3,12630.0,4.33,21126.0,6
E05009395,Earl's Court,7,13488.3,4.57,20267.7,7
E05009405,Stanley,6,18316.5,6.0,15439.5,8
E05009397,Holland,6,19481.0,6.17,14275.0,9
E05009400,Pembridge,4,19734.8,6.0,14021.2,10
E05009389,Brompton & Hans Town,7,19960.3,6.14,13795.7,11
E05009393,Courtfield,4,20650.0,6.5,13106.0,12
E05009403,Royal Hospital,7,20668.6,6.57,13087.4,13
E05009398,Norland,4,21050.8,7.0,12705.2,14
E05009402,Redcliffe,7,21549.0,7.0,12207.0,15
E05009401,Queen's Gate,6,25075.0,8.0,8681.0,16
E05009388,Abingdon,5,25075.8,7.8,8680.2,17
E05009390,Campden,6,25547.3,8.17,8208.7,18
