rank,ward,imd_score,air_quality_combined,capacity_proxy,D,E,M,R_raw,equity_flag,R_final,n_practices,total_psychotropic_items_12mo,mean_psychotropic_items_per_practice,C_data_available,C,R_raw_CDEM,high_deprivation,low_capacity,R_final_CDEM,rank_CDEM
2,Canning Town North,26800.4,18.01,1.0,0.448,1.632,0.612,2.692,False,2.692,1.0,29434.0,29434.0,True,2.6681180248240786,5.360118024824079,False,True,5.360118024824079,1
3,Custom House,27413.0,17.42,1.0,0.59,0.807,0.612,2.01,True,2.613,1.0,18508.0,18508.0,True,0.8500773794413654,2.8590773794413655,True,True,3.716800593273775,2
1,East Ham South,27851.2,17.46,0.0,0.692,0.863,1.28,2.836,True,3.686,,,,False,0.0,2.835,True,True,3.6855,3
6,Plaistow South,27335.6,16.9,1.0,0.572,0.081,0.612,1.265,False,1.265,1.0,23033.0,23033.0,True,1.6030184301787602,2.8680184301787603,False,True,2.8680184301787603,4
5,Wall End,27301.7,16.655,0.0,0.565,-0.262,1.28,1.583,False,1.583,,,,False,0.0,1.583,False,True,1.583,5
9,Beckton,24979.0,17.06,2.0,0.024,0.304,-0.056,0.273,False,0.273,2.0,36628.0,18314.0,True,0.81779659185174,1.08979659185174,False,False,1.08979659185174,6
12,Forest Gate South,26943.9,16.55,2.0,0.481,-0.409,-0.056,0.017,False,0.017,2.0,37888.0,18944.0,True,0.9226259536118635,0.9386259536118635,False,False,0.9386259536118635,7
4,Canning Town South,21363.8,18.955,2.0,-0.817,2.953,-0.056,2.08,False,2.08,1.0,6355.0,6355.0,True,-1.172130927655112,0.9078690723448879,False,False,0.9078690723448879,8
7,West Ham,25513.2,16.705,1.0,0.148,-0.192,0.612,0.569,False,0.569,1.0,14150.0,14150.0,True,0.12492442936101908,0.6929244293610191,False,True,0.6929244293610191,9
11,Plaistow West & Canning Town East,27347.4,17.015,3.0,0.575,0.241,-0.723,0.093,False,0.093,3.0,48228.0,16076.0,True,0.4454027638848252,0.5384027638848251,False,False,0.5384027638848251,10
13,Royal Albert,21899.0,16.9,1.0,-0.693,0.081,0.612,0.0,False,0.0,1.0,13766.0,13766.0,True,0.06102843743103905,0.06102843743103903,False,True,0.06102843743103903,11
8,Plaistow North,26683.5,16.45,1.0,0.421,-0.548,0.612,0.485,False,0.485,1.0,9431.0,9431.0,True,-0.6602974089660012,-0.1752974089660012,False,True,-0.1752974089660012,12
17,Stratford Olympic Park,14770.6,17.545,1.0,-2.351,0.982,0.612,-0.757,False,-0.757,1.0,15713.0,15713.0,True,0.38500108401351596,-0.37199891598648394,False,True,-0.37199891598648394,13
14,Boleyn,25310.4,16.59,2.0,0.101,-0.353,-0.056,-0.307,False,-0.307,2.0,24216.0,12108.0,True,-0.21485581939163514,-0.5228558193916352,False,False,-0.5228558193916352,14
10,Maryland,26436.0,16.32,1.0,0.363,-0.73,0.612,0.245,False,0.245,1.0,8610.0,8610.0,True,-0.7969083708787971,-0.5519083708787972,False,True,-0.5519083708787972,15
18,Manor Park,27566.1,15.86,2.0,0.626,-1.373,-0.056,-0.802,False,-0.802,2.0,26101.0,13050.5,True,-0.05802776628224406,-0.8610277662822441,True,False,-0.8610277662822441,16
19,East Ham,28031.8,16.465,4.0,0.734,-0.527,-1.391,-1.184,False,-1.184,4.0,56427.0,14106.8,True,0.1177361302688962,-1.0662638697311038,True,False,-1.0662638697311038,17
21,Royal Victoria,9962.7,17.395,0.0,-3.47,0.772,1.28,-1.418,False,-1.418,,,,False,0.0,-1.4180000000000004,False,True,-1.4180000000000004,18
15,Little Ilford,28746.1,15.885,2.0,0.901,-1.338,-0.056,-0.493,False,-0.493,2.0,14661.0,7330.5,True,-1.0098118127392384,-1.5028118127392385,True,False,-1.5028118127392385,19
20,Forest Gate North,24578.7,15.935,2.0,-0.069,-1.268,-0.056,-1.393,False,-1.393,2.0,19244.0,9622.0,True,-0.6285158088133288,-2.0215158088133287,False,False,-2.0215158088133287,20
16,Green Street East,26784.6,16.195,2.0,0.444,-0.905,-0.056,-0.516,False,-0.516,2.0,4372.0,2186.0,True,-1.8658350692074213,-2.382835069207421,False,False,-2.382835069207421,21
22,Green Street West,26343.1,16.825,5.0,0.342,-0.024,-2.059,-1.741,False,-1.741,5.0,43089.0,8617.8,True,-0.7956104835427195,-2.5366104835427197,False,False,-2.5366104835427197,22
24,Stratford,21504.6,17.195,6.0,-0.784,0.493,-2.726,-3.018,False,-3.018,4.0,54119.0,13529.8,True,0.0217257465616085,-2.9952742534383914,False,False,-2.9952742534383914,23
23,Plashet,25545.6,15.925,4.0,0.156,-1.282,-1.391,-2.517,False,-2.517,4.0,33994.0,8498.5,True,-0.8154615039522157,-3.332461503952216,False,False,-3.332461503952216,24
