id,name,postcode,psychotropic_items_12mo
F84017,STAR LANE MEDICAL CENTRE,E16 4QH,29434
F84093,TOLLGATE MEDICAL CENTRE,E6 5JS,23843
F84052,ESSEX LODGE,E13 0AS,23692
F84092,GLEN ROAD MEDICAL CENTRE,E13 8RU,23033
F84004,MARKET STREET HEALTH GROUP,E6 2RA,22751
F84749,CARPENTERS PRACTICE,E15 2JA,21567
F84724,WOODGRANGE MEDICAL PRACTICE,E7 0QH,19961
F84047,CUSTOM HOUSE SURGERY,E16 3NA,18508
F84006,SHREWSBURY ROAD SURGERY,E7 8QP,18037
F84097,CLAREMONT CLINIC,E7 8AB,17927
F84121,E12 HEALTH,E12 6AQ,17545
Y04273,LIBERTY BRIDGE ROAD PRACTICE,E20 1AS,15713
F84111,ABBEY ROAD MEDICAL PRACTICE,E15 3LT,14150
Y02928,THE PRACTICE ALBERT ROAD,E16 2DY,13766
F84009,STRATFORD VILLAGE SURGERY,E15 4BZ,13061
F84681,BALAAM STREET PRACTICE,E13 8AF,13060
F84717,ROYAL DOCKS MEDICAL PRACTICE,E6 5NA,12785
F84735,THE AZAD PRACTICE,E6 3BD,12605
F84669,CENTRAL PARK SURGERY,E6 1FL,12313
F84050,BOLEYN MEDICAL CENTRE,E6 3BD,11611
F84053,GREENGATE MEDICAL CENTRE,E13 8PS,11476
F84010,ASPIRE MEDICAL CENTRE,E6 1FL,10868
F84658,SANGAM PRACTICE,E12 5JF,10750
F84677,EAST END MEDICAL CENTRE,E13 0QA,10714
F84070,LATHOM ROAD MEDICAL CENTRE,E6 2DU,10495
F84672,FIRST 4 HEALTH GROUP - E7 HEALTH,E7 0EP,10483
F84074,WORDSWORTH HEALTH CENTRE,E12 6SU,10217
F84730,THE VICARAGE LANE SURGERY,E15 4ES,10067
F84124,THE PROJECT SURGERY,E13 0LN,9431
F84077,NEWHAM VICARAGE PRACTICE,E15 4ES,9424
F84642,LUCAS AVENUE PRACTICE,E13 0QP,9190
F84086,THE FOREST PRACTICE,E7 0EP,8761
F84022,STRATFORD HEALTH CENTRE,E15 1EN,8610
F84088,PLASHET ROAD MEDICAL CENTRE,E13 0QT,8556
F84740,NEWHAM TRANSITIONAL PRACTICE,E12 6AQ,8556
F84014,UPTON LANE MEDICAL CENTRE,E7 9PB,7888
F86731,ALDERSBROOK MEDICAL CENTRE,E12 5DL,6938
F84670,WESTBURY ROAD MEDICAL PRACTICE,E7 8BU,6741
F84666,THE RUIZ MEDICAL PRACTICE,E16 1HT,6355
F84641,BIRCHDALE ROAD MEDICAL CENTRE,E7 8AR,4047
F84729,THE MANOR PARK PRACTICE,E12 5JG,3911
F84741,PLASHET HARMONY PRACTICE,E7 8QR,3437
F84739,E12 MEDICAL CENTRE,E12 6SJ,2303
F84660,DR CM PATEL'S SURGERY,E7 8LZ,325
Y03434,PATIENT FIRST SOCIAL ENTERPRISE,E15 4BZ,29
Y03433,GYNAECOLOGY SERVICES,E15 4BZ,3
F84750,COMMUNITY DERMATOLOGY CLINIC,E16 1LQ,0
