ward_code,ward_name,n_lsoas,mean_imd_rank,mean_imd_decile,most_deprived_lsoa_rank,imd_score_proxy,deprivation_rank_in_newham
E05013915,Little Ilford,10,5009.9,1.9,1824,28746.1,1
E05013909,East Ham,8,5724.2,2.25,4241,28031.8,2
E05013910,East Ham South,8,5904.8,2.25,2420,27851.2,3
E05013916,Manor Park,9,6189.9,2.22,3323,27566.1,4
E05013908,Custom House,9,6343.0,2.44,4097,27413.0,5
E05013920,Plaistow West & Canning Town East,8,6408.6,2.38,2888,27347.4,6
E05013919,Plaistow South,7,6420.4,2.29,2605,27335.6,7
E05013926,Wall End,9,6454.3,2.56,4019,27301.7,8
E05013912,Forest Gate South,9,6812.1,2.56,1710,26943.9,9
E05013906,Canning Town North,5,6955.6,2.4,5872,26800.4,10
E05013913,Green Street East,8,6971.4,2.62,3378,26784.6,11
E05013918,Plaistow North,10,7072.5,2.4,5098,26683.5,12
E05013917,Maryland,5,7320.0,2.8,5083,26436.0,13
E05013914,Green Street West,7,7412.9,2.71,5657,26343.1,14
E05013921,Plashet,5,8210.4,2.8,6402,25545.6,15
E05013927,West Ham,8,8242.8,2.88,3511,25513.2,16
E05013905,Boleyn,8,8445.6,3.12,4509,25310.4,17
E05013904,Beckton,10,8777.0,3.0,1781,24979.0,18
E05013911,Forest Gate North,6,9177.3,3.33,7141,24578.7,19
E05013922,Royal Albert,6,11857.0,4.0,4389,21899.0,20
E05013924,Stratford,9,12251.4,4.0,6544,21504.6,21
E05013907,Canning Town South,5,12392.2,4.0,3729,21363.8,22
E05013925,Stratford Olympic Park,7,18985.4,6.14,7773,14770.6,23
E05013923,Royal Victoria,9,23793.3,7.78,11179,9962.7,24
